,_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest Poi
5081,4827194,2017-06-21 14:21:14.430,CA,ON,North York,43.7677,-79.4126,POI3
5082,4827232,2017-06-21 05:21:14.953,CA,AB,Calgary,51.0494,-113.9564,POI1
5083,4827246,2017-06-21 13:21:15.590,CA,ON,Toronto,43.63856,-79.43689,POI3
5084,4827327,2017-06-21 22:21:16.017,CA,ON,Toronto,43.7264,-79.3978,POI3
5085,4827382,2017-06-21 17:21:13.140,CA,AB,Edmonton,53.5129,-113.623,POI1
5086,4827429,2017-06-21 11:21:13.237,CA,QC,Charlemagne,45.7643,-73.5036,POI3
5087,4827434,2017-06-21 16:21:13.560,CA,QC,Saint-Constant,45.3668,-73.5659,POI3
5088,4827437,2017-06-21 19:21:13.920,CA,QC,Sainte-Thérèse,45.6378,-73.8414,POI3
5089,4827464,2017-06-21 18:21:14.463,CA,ON,Toronto,43.7264,-79.3978,POI3
5090,4827527,2017-06-21 21:21:15.817,CA,AB,Edmonton,53.5442,-113.495,POI1
5091,4827601,2017-06-21 06:21:16.103,CA,AB,Edmonton,53.42923,-113.42367,POI1
5092,4827679,2017-06-21 17:21:13.783,CA,ON,Toronto,43.7028,-79.3877,POI3
5093,4827691,2017-06-21 16:21:14.450,CA,QC,Montréal,45.6043,-73.5178,POI3
5094,4827778,2017-06-21 04:21:18.640,CA,AB,Edmonton,53.59728,-113.43922,POI1
5095,4827875,2017-06-21 15:21:15.630,CA,ON,Toronto,43.7537,-79.2659,POI3
5096,4827883,2017-06-21 16:21:18.860,CA,ON,Etobicoke,43.6651,-79.5294,POI3
5097,4827942,2017-06-21 09:21:19.093,CA,ON,Toronto,43.6963,-79.4125,POI3
5098,4828035,2017-06-21 11:21:19.123,CA,ON,Etobicoke,43.6879,-79.557,POI3
5099,4828051,2017-06-21 10:21:16.103,CA,ON,Toronto,43.7264,-79.3978,POI3
5100,4828084,2017-06-21 09:21:17.640,CA,NB,Moncton,46.1183,-64.7338,POI4
5101,4828111,2017-06-21 03:21:18.910,CA,ON,Toronto,43.6609,-79.3997,POI3
5102,4828127,2017-06-21 14:21:18.943,CA,ON,Peterborough,44.299,-78.314,POI3
5103,4828263,2017-06-21 18:21:18.993,CA,AB,Edmonton,53.4829,-113.499,POI1
5104,4828272,2017-06-21 10:21:19.020,CA,ON,Mississauga,44.509,-79.621,POI3
5105,4828278,2017-06-21 04:21:19.113,CA,ON,Oakville,43.4934,-79.7126,POI3
5106,4828393,2017-06-21 17:21:19.190,CA,ON,Toronto,43.6963,-79.4125,POI3
5107,4828414,2017-06-21 05:21:18.950,CA,ON,Barrie,44.3303,-79.7268,POI3
5108,4828446,2017-06-21 05:21:19.000,CA,ON,Toronto,43.7129,-79.3888,POI3
5109,4828534,2017-06-21 06:21:19.157,CA,ON,Toronto,43.68707,-79.39758,POI3
5110,4828601,2017-06-21 07:21:19.223,CA,AB,Calgary,51.1264,-114.1419,POI1
5111,4828675,2017-06-21 19:21:18.900,CA,ON,Bolton,43.9319,-79.8056,POI3
5112,4828711,2017-06-21 00:21:18.953,CA,ON,Burlington,43.3354,-79.8577,POI3
5113,4828770,2017-06-21 17:21:22.850,CA,ON,Toronto,43.67098,-79.3871,POI3
5114,4828826,2017-06-21 08:21:19.143,CA,ON,Barrie,44.3851,-79.6991,POI3
5115,4828888,2017-06-21 04:21:19.173,CA,ON,Toronto,43.6963,-79.4125,POI3
5116,4828918,2017-06-21 22:21:19.203,CA,ON,Whitby,43.8873,-78.9422,POI3
5117,4828934,2017-06-21 07:21:19.250,CA,ON,Scarborough,43.8315,-79.2599,POI3
5118,4829031,2017-06-21 15:21:20.693,CA,AB,Edmonton,53.4154,-113.4178,POI1
5119,4829087,2017-06-21 03:21:22.390,CA,ON,Scarborough,43.81276,-79.2131,POI3
5120,4829090,2017-06-21 02:21:22.950,CA,AB,Edmonton,53.47821,-113.39114,POI1
5121,4829147,2017-06-21 19:21:21.927,CA,ON,Toronto,43.66747,-79.31542,POI3
5122,4829154,2017-06-21 18:21:24.673,CA,ON,Oakville,43.44144,-79.73238,POI3
5123,4829157,2017-06-21 06:21:24.740,CA,ON,Pembroke,45.827,-77.1116,POI3
5124,4829160,2017-06-21 21:21:24.787,CA,ON,Thunder Bay,48.4527,-89.2162,POI3
5125,4829246,2017-06-21 21:21:22.007,CA,AB,Sherwood Park,53.52289,-113.33188,POI1
5126,4829295,2017-06-21 11:21:24.770,CA,SK,Regina,50.4548,-104.595,POI1
5127,4829389,2017-06-21 13:21:24.983,CA,ON,Bracebridge,45.0442,-79.1286,POI3
5128,4829444,2017-06-21 08:21:25.860,CA,AB,Calgary,51.08108,-114.06459,POI1
5129,4829496,2017-06-21 02:21:24.820,CA,ON,Brampton,43.71401,-79.70188,POI3
5130,4829606,2017-06-21 20:21:27.197,CA,AB,Calgary,51.08108,-114.06459,POI1
5131,4829674,2017-06-21 22:21:28.330,CA,AB,Calgary,50.9132,-113.939,POI1
5132,4829744,2017-06-21 20:21:24.767,CA,ON,North Bay,46.3106,-79.4615,POI3
5133,4829829,2017-06-21 22:21:27.650,CA,AB,Calgary,51.08108,-114.06459,POI1
5134,4829856,2017-06-21 06:21:28.347,CA,AB,Calgary,50.9722,-114.062,POI1
5135,4829859,2017-06-21 19:21:28.580,CA,ON,North York,43.7786,-79.4424,POI3
5136,4829916,2017-06-21 15:21:24.647,CA,SK,Duck Lake,52.8314,-106.234,POI1
5137,4830009,2017-06-21 03:21:28.267,CA,AB,Calgary,50.916,-113.9489,POI1
5138,4830171,2017-06-21 16:21:28.810,CA,ON,North York,43.7786,-79.4424,POI3
5139,4830201,2017-06-21 17:21:29.240,CA,ON,Barrie,44.3303,-79.7268,POI3
5140,4830257,2017-06-21 14:21:25.827,CA,NB,Moncton,46.1183,-64.7338,POI4
5141,4830279,2017-06-21 00:21:28.310,CA,AB,Calgary,50.94552,-114.07608,POI1
5142,4830301,2017-06-21 03:21:29.200,CA,AB,Beaumont,53.3545,-113.414,POI1
5143,4830323,2017-06-21 21:21:29.267,CA,ON,Burlington,43.3889,-79.7682,POI3
5144,4830354,2017-06-21 01:21:29.353,CA,ON,Burlington,43.3889,-79.7682,POI3
5145,4830371,2017-06-21 21:21:29.593,CA,BC,Kamloops,50.6748,-120.329,POI1
5146,4830435,2017-06-21 01:21:29.613,CA,ON,Richmond Hill,43.8939,-79.4375,POI3
5147,4830514,2017-06-21 18:21:29.483,CA,AB,Edmonton,53.5061,-113.50736,POI1
5148,4830572,2017-06-21 10:21:30.390,CA,ON,North York,43.7786,-79.4424,POI3
5149,4830663,2017-06-21 20:21:30.250,CA,QC,Greenfield Park,45.4865,-73.4622,POI3
5150,4830755,2017-06-21 05:21:30.010,CA,ON,Richmond Hill,43.8939,-79.4375,POI3
5151,4830793,2017-06-21 09:21:30.950,CA,ON,North York,43.7677,-79.4126,POI3
5152,4830892,2017-06-21 10:21:31.667,CA,AB,Calgary,51.1264,-114.1419,POI1
5153,4831070,2017-06-21 12:21:34.077,CA,AB,Edmonton,53.4653,-113.386,POI1
5154,4831210,2017-06-21 11:21:34.087,CA,ON,Mississauga,43.5873,-79.6076,POI3
5155,4831259,2017-06-21 03:21:34.163,CA,ON,Mississauga,43.59105,-79.57278,POI3
5156,4831297,2017-06-21 03:21:29.150,CA,ON,Toronto,43.6477,-79.4174,POI3
